Location Name,Country,X,Y,weights,Annotation
Mountain,Lesotho,-28.68872,28.51766,26,1
Mountain,Tajikistan,39.05681,72.00874,26,1
Mountain,Kosovo,42.13972,20.97972,26,1
Mountain,Montenegro,43.12792,19.03411,26,1
Mountain,Bosnia and Herzegovina,43.27361,18.66556,26,1
Mountain,Bhutan,28.06418,90.44353,26,1
Mountain,Iceland,64.79649,-15.55904,26,1
Mountain,Heard Island and McDonald Islands,-53.10833,73.525,26,1
Mountain,Namibia,-21.13333,14.58333,26,1
China,Kyrgyzstan,39.3335,72.91626,18,1
China,Mongolia,48.94596,99.53665,18,1
China,Macao,22.20056,113.54611,18,1
China,Albania,41.73056,20.2975,18,1
China,Chad,17.67673,20.84694,18,1
Miss.,Slovenia,46.5875,15.02222,1,1
Miss.,Kuwait,29.34618,48.08492,1,1
Miss.,Sweden,59.33769,18.06159,1,1
Atlanta Hotel,Austria,48.22,16.356,4,1
Buena Vista,Gibraltar,36.11667,-5.33333,2,1
Savannah,Barbados,13.25,-59.55,55,1
Macom,Equatorial Guinea,1.65013,11.33635,5,1
Yankee,Turks and Caicos Islands,21.65,-72.46667,234,1
India,British Indian Ocean Territory,-6,72,170,1
India,,12.11721,-68.91964,170,1
moon,Estonia,58.5825,23.2525,12,1
United States,U.S. Minor Outlying Islands,5.875,-162.057,9,1
United States,Belarus,53.8417,26.4976,9,1
United States,Western Sahara,24.45,-13.1,9,1
United States,Macedonia,41.80917,21.03167,9,1
United States,Laos,18,105,9,1
Tara,Mali,16.17065,-3.91001,513,1
Tara,Morocco,35.28981,-4.86857,513,1
Augusta,São Tomé and Príncipe,0.11667,6.63333,8,1
Augusta,Poland,53.35099,22.90648,8,1
Augusta,Tonga,-21.06667,-175.18333,8,1
South,Ecuador,-0.22985,-78.52495,149,1
Switzerland,Luxembourg,49.83333,6.33333,1,1
Europe,Andorra,42.53474,1.58014,17,1
Europe,Liechtenstein,47.16498,9.50867,17,1
Europe,Monaco,43.73333,7.41667,17,1
Europe,Moldova,46.83156,29.47769,17,1
Europe,San Marino,43.96897,12.48167,17,1
Europe,Vatican City,41.90236,12.45332,17,1
Europe,Faroe Islands,62.15639,-7.16639,17,1
Europe,Åland,60.09726,19.93481,17,1
Europe,Slovakia,48.30763,18.08453,17,1
Egypt,Libya,30.75545,20.22625,2,1
Egypt,Ivory Coast,8.08759,-6.51255,2,1
France,Saint Martin,18.08216,-63.04282,6,1
West,Cocos [Keeling] Islands,-12.15681,96.82251,23,1
West,Palestine,32.22111,35.25444,23,1
